contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
10,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-12 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub00,0.7077197122421814
11,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-13 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0P,0.7077197122421814
12,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,0.7077197122421814
13,Boston Bruins vs. San Jose Sharks,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-20 13:00:00,Ticketmaster,Hockey,USD,125.0,https://www.ticketmaster.com/boston-bruins-vs-san-jose-sharks-boston-massachusetts-01-20-2025/event/010060D9D4C2731E,4.232843700433572
14,Boston Bruins vs. Edmonton Oilers,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-07 19:00:00,Ticketmaster,Hockey,USD,120.0,https://www.ticketmaster.com/boston-bruins-vs-edmonton-oilers-boston-massachusetts-01-07-2025/event/010060D9D4B87315,4.232843700433572
15,Boston Bruins vs. Vegas Golden Knights,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-02-08 15:30:00,Ticketmaster,Hockey,USD,190.0,https://www.ticketmaster.com/boston-bruins-vs-vegas-golden-knights-boston-massachusetts-02-08-2025/event/010060D9D4E07356,4.232843700433572
16,Boston Celtics vs. Detroit Pistons,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2024-12-12 19:30:00,Ticketmaster,Basketball,USD,73.5,https://www.ticketmaster.com/boston-celtics-vs-detroit-pistons-boston-massachusetts-12-12-2024/event/010060EBE47772BA,4.232843700433572
17,Boston Bruins vs. Tampa Bay Lightning,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-14 19:00:00,Ticketmaster,Hockey,USD,100.0,https://www.ticketmaster.com/boston-bruins-vs-tampa-bay-lightning-boston-massachusetts-01-14-2025/event/010060D9D4BD731A,4.232843700433572
18,Hockey East Final,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-03-21 00:00:00,Ticketmaster,Hockey,USD,33.0,https://www.ticketmaster.com/hockey-east-final-boston-massachusetts-03-21-2025/event/01006179A3731EA2,4.232843700433572
19,Boston Bruins vs. Ottawa Senators,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-23 19:00:00,Ticketmaster,Hockey,USD,105.0,https://www.ticketmaster.com/boston-bruins-vs-ottawa-senators-boston-massachusetts-01-23-2025/event/010060D9D4C67320,4.232843700433572
20,Boston Bruins vs. Anaheim Ducks,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-02-22 19:00:00,Ticketmaster,Hockey,USD,170.0,https://www.ticketmaster.com/boston-bruins-vs-anaheim-ducks-boston-massachusetts-02-22-2025/event/010060D9D4E4735E,4.232843700433572
=======
1,Boston Bruins vs. Buffalo Sabres,event,"42.365841, -71.060724",2024-12-21 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-buffalo-sabres-boston-massachusetts-12-21-2024/event/010060D9D5857613,0
2,Boston Bruins vs. Columbus Blue Jackets,event,"42.365841, -71.060724",2024-12-28 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-columbus-blue-jackets-boston-massachusetts-12-28-2024/event/010060D9D58F7631,0
3,Boston Bruins vs. Colorado Avalanche,event,"42.365841, -71.060724",2025-01-25 13:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-colorado-avalanche-boston-massachusetts-01-25-2025/event/010060D9D4CC7326,0
4,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-06-13 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxF,0
5,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-06-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxa,0
6,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-06-15 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubx8,0
7,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2025-07-25 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub07,0
8,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2025-07-26 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0A,0
9,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2025-07-27 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0k,0
10,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-09-12 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub00,0
11,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-09-13 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0P,0
12,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2025-09-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,0
13,Boston Bruins vs. San Jose Sharks,event,"42.365841, -71.060724",2025-01-20 13:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-san-jose-sharks-boston-massachusetts-01-20-2025/event/010060D9D4C2731E,0
14,Boston Bruins vs. Edmonton Oilers,event,"42.365841, -71.060724",2025-01-07 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-edmonton-oilers-boston-massachusetts-01-07-2025/event/010060D9D4B87315,0
15,Boston Bruins vs. Vegas Golden Knights,event,"42.365841, -71.060724",2025-02-08 15:30:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-vegas-golden-knights-boston-massachusetts-02-08-2025/event/010060D9D4E07356,0
16,Boston Celtics vs. Detroit Pistons,event,"42.365841, -71.060724",2024-12-12 19:30:00,Ticketmaster,Basketball,N/A,0,https://www.ticketmaster.com/boston-celtics-vs-detroit-pistons-boston-massachusetts-12-12-2024/event/010060EBE47772BA,0
17,Boston Bruins vs. Tampa Bay Lightning,event,"42.365841, -71.060724",2025-01-14 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-tampa-bay-lightning-boston-massachusetts-01-14-2025/event/010060D9D4BD731A,0
18,Hockey East Final,event,"42.365841, -71.060724",2025-03-21 00:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/hockey-east-final-boston-massachusetts-03-21-2025/event/01006179A3731EA2,0
19,Boston Bruins vs. Ottawa Senators,event,"42.365841, -71.060724",2025-01-23 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-ottawa-senators-boston-massachusetts-01-23-2025/event/010060D9D4C67320,0
20,Boston Bruins vs. Anaheim Ducks,event,"42.365841, -71.060724",2025-02-22 19:00:00,Ticketmaster,Hockey,N/A,0,https://www.ticketmaster.com/boston-bruins-vs-anaheim-ducks-boston-massachusetts-02-22-2025/event/010060D9D4E4735E,0
>>>>>>> Stashed changes
21,Pottery & Pints,Join us for a pottery class where you learn to make your own mug while enjoying a crisp pint of beer!,"33 Harry Agganis Way, Boston",2024-12-18 19:00:00,Host,Pottery,USD,25,www.example.com,0
22,argvadb,paisndopivasnovsdin oasidncosidanocinsa,"270 Atlantic Ave, Boston, MA 02110, USA",2024-12-23 06:22:00,Host,Gaming,USD,230,1234123412,0
23,Country Music Festival,"This Spring, we are bringing the biggest country music festival to you!",Fenway Park,2025-05-12 14:00:00,Host,Festivals,USD,150,wwww.countrymusic.com,0
